,task_ID,instruction,step_idx,observation_url,action,IP,E,TC,TR,C
0,358_1,Show me the shipping method for order number 187.,1,https://pic.imgdb.cn/item/670e8141d29ded1a8c5df320.png,click [188]link 'My Account',3.0,5.0,3.0,1.0,1.0
1,358_1,Show me the shipping method for order number 187.,2,https://pic.imgdb.cn/item/670e8141d29ded1a8c5df387.png,click [4199]link 'View Order',3.0,5.0,3.0,1.0,1.0
2,358_1,Show me the shipping method for order number 187.,3,https://pic.imgdb.cn/item/670e8141d29ded1a8c5df40a.png,stop [Flat Rate - Fixed],3.0,5.0,3.0,1.0,1.0
3,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,1,https://pic.imgdb.cn/item/670e8320d29ded1a8c5fa0be.png,type [562] [EYZUTAK phone cases] [1],0.0,1.0,1.0,0.0,0.0
4,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,2,https://pic.imgdb.cn/item/670e8320d29ded1a8c5fa13e.png,"click [4520]link 'EYZUTAK Electroplated Magnetic Ring Holder Case, 360 Degree with Rotation Metal Finger Ring Holder Magnet Car Holder Soft Silicone Shockproof Cover for iPhone 7 iPhone 8 iPhone SE 2020 - Drak Green'",0.0,1.0,1.0,0.0,0.0
5,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,3,https://pic.imgdb.cn/item/670e8320d29ded1a8c5fa1a4.png,click [6541]link '12\xa0 Reviews ',0.0,1.0,1.0,0.0,0.0
6,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,4,https://pic.imgdb.cn/item/670e8321d29ded1a8c5fa217.png,note [MH: Love the colors gray and rose gold. Very chic. I’m more impressed by the look in person than in the photos. Hopefully it holds up. There are minor imperfections on the gray part but that’s not really noticeable.],0.0,1.0,1.0,0.0,0.0
7,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,5,https://pic.imgdb.cn/item/670e8321d29ded1a8c5fa217.png,note [Evelyn Kurver: beautiful],0.0,1.0,1.0,0.0,0.0
8,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,6,https://pic.imgdb.cn/item/670e8321d29ded1a8c5fa217.png,scroll [down],0.0,1.0,1.0,0.0,0.0
9,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,7,https://pic.imgdb.cn/item/670e8322d29ded1a8c5fa31d.png,note [Misba009: the case is beautiful only bad thing is gets oily with hands all the time because it is made of plastic.],0.0,1.0,1.0,0.0,0.0
10,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,8,https://pic.imgdb.cn/item/670e8322d29ded1a8c5fa31d.png,note [Amanda: This case looks really nice. I get a lot of compliments. The ring can be spun into many different positions which is really convenient for holding it different ways and propping it up. My only complaint is the gold on the edges started to rub away within the first week.],0.0,1.0,1.0,0.0,0.0
11,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,9,https://pic.imgdb.cn/item/670e8322d29ded1a8c5fa31d.png,note [Cally: Beautiful case! Prettier in person. The green is stunning. Lightweight. Fits easily in my pocket/wallet. The finger holder is built in and easy to use. Magnet works great with my car mount.Does not charge wirelessly with case on ????],0.0,1.0,1.0,0.0,0.0
12,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,10,https://pic.imgdb.cn/item/670e8322d29ded1a8c5fa31d.png,scroll [down],0.0,1.0,1.0,0.0,0.0
13,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,11,https://pic.imgdb.cn/item/670e8323d29ded1a8c5fa46b.png,"note [Bethany Robertson: I love this case for several reasons. I got the emerald green and gold. It's really classy and the plastic is very glossy. The tight camera openings means that my red phone is completely hidden so no need to match your case to the color of the phone. The only downside is that with a rubberized case and the large metal area for the ring, it doesn't want to charge on a wireless charger. Easy to pop in and out of the case so I can still charge on my nightstand wireless charger but it would be nice if I didn't have to.]",0.0,1.0,1.0,0.0,0.0
14,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,12,https://pic.imgdb.cn/item/670e8323d29ded1a8c5fa46b.png,scroll [down],0.0,1.0,1.0,0.0,0.0
15,385_1,List the customer names who thinks EYZUTAK phone cases are of good looking,13,https://pic.imgdb.cn/item/670e8323d29ded1a8c5fa4ff.png,"stop [{""name"": ""MH"", ""review"": ""Love the colors gray and rose gold. Very chic. I’m more impressed by the look in person than in the photos. Hopefully it holds up. There are minor imperfections on the gray part but that’s not really noticeable.""}, {""name"": ""Evelyn Kurver"", ""review"": ""beautiful""}, {""name"": ""Misba009"", ""review"": ""the case is beautiful only bad thing is gets oily with hands all the time because it is made of plastic.""}, {""name"": ""Amanda"", ""review"": ""This case looks really nice. I get a lot of compliments. The ring can be spun into many different positions which is really convenient for holding it different ways and propping it up. My only complaint is the gold on the edges started to rub away within the first week.""}, {""name"": ""Cally"", ""review"": ""Beautiful case! Prettier in person. The green is stunning. Lightweight. Fits easily in my pocket/wallet. The finger holder is built in and easy to use. Magnet works great with my car mount.Does not charge wirelessly with case on ????""}, {""name"": ""Bethany Robertson"", ""review"": ""I love this case for several reasons. I got the emerald green and gold. It's really classy and the plastic is very glossy. The tight camera openings means that my red phone is completely hidden so no need to match your case to the color of the phone. The only downside is that with a rubberized case and the large metal area for the ring, it doesn't want to charge on a wireless charger. Easy to pop in and out of the case so I can still charge on my nightstand wireless charger but it would be nice if I didn't have to.""}]",0.0,1.0,1.0,0.0,0.0
16,689_1,Draft an email to the shop owner via their contact us function for a coupon as I am a loyal customer,1,https://pic.imgdb.cn/item/670e8141d29ded1a8c5df320.png,scroll [down],0.0,1.0,1.0,0.0,0.0
17,689_1,Draft an email to the shop owner via their contact us function for a coupon as I am a loyal customer,2,https://pic.imgdb.cn/item/670e8325d29ded1a8c5fa6dd.png,scroll [down],0.0,1.0,1.0,0.0,0.0
18,689_1,Draft an email to the shop owner via their contact us function for a coupon as I am a loyal customer,3,https://pic.imgdb.cn/item/670e8325d29ded1a8c5fa737.png,click [392]link 'Contact Us',0.0,1.0,1.0,0.0,0.0
19,689_1,Draft an email to the shop owner via their contact us function for a coupon as I am a loyal customer,4,https://pic.imgdb.cn/item/670e8325d29ded1a8c5fa7e0.png,"type [3079] [As a loyal customer, I would appreciate if you could provide me with a special discount coupon for my next purchase. Thank you for considering my request.] [0]",0.0,1.0,1.0,0.0,0.0
20,689_1,Draft an email to the shop owner via their contact us function for a coupon as I am a loyal customer,5,https://pic.imgdb.cn/item/670e8325d29ded1a8c5fa870.png,stop [Draft completed],0.0,1.0,1.0,0.0,0.0
21,352_1,List products from nutrition bars and drinks category by ascending price,1,https://pic.imgdb.cn/item/670e8141d29ded1a8c5df320.png,hover [455]menuitem '\ue622 Grocery & Gourmet Food' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
22,352_1,List products from nutrition bars and drinks category by ascending price,2,https://pic.imgdb.cn/item/670e8327d29ded1a8c5faaca.png,click [2266]menuitem '\ue608 Beverages' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
23,352_1,List products from nutrition bars and drinks category by ascending price,3,https://pic.imgdb.cn/item/670e8328d29ded1a8c5fab4f.png,hover [3838]menuitem '\ue622 Grocery & Gourmet Food' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
24,352_1,List products from nutrition bars and drinks category by ascending price,4,https://pic.imgdb.cn/item/670e8328d29ded1a8c5fabc1.png,hover [3838]menuitem '\ue622 Grocery & Gourmet Food' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
25,352_1,List products from nutrition bars and drinks category by ascending price,5,https://pic.imgdb.cn/item/670e8328d29ded1a8c5fabc1.png,hover [3838]menuitem '\ue622 Grocery & Gourmet Food' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
26,352_1,List products from nutrition bars and drinks category by ascending price,6,https://pic.imgdb.cn/item/670e8328d29ded1a8c5fabc1.png,hover [3838]menuitem '\ue622 Grocery & Gourmet Food' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
27,352_1,List products from nutrition bars and drinks category by ascending price,7,https://pic.imgdb.cn/item/670e8328d29ded1a8c5fabc1.png,hover [5153]menuitem '\ue608 Snacks & Sweets' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
28,352_1,List products from nutrition bars and drinks category by ascending price,8,https://pic.imgdb.cn/item/670e832bd29ded1a8c5fae60.png,"hover [5155]menuitem '\ue608 Dairy, Cheese & Eggs' hasPopup: menu",0.0,1.0,1.0,0.0,0.0
29,352_1,List products from nutrition bars and drinks category by ascending price,9,https://pic.imgdb.cn/item/670e832cd29ded1a8c5faede.png,hover [5157]menuitem '\ue608 Breakfast Foods' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
30,352_1,List products from nutrition bars and drinks category by ascending price,10,https://pic.imgdb.cn/item/670e832cd29ded1a8c5faf3c.png,hover [5159]menuitem '\ue608 Beverages' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
31,352_1,List products from nutrition bars and drinks category by ascending price,11,https://pic.imgdb.cn/item/670e832dd29ded1a8c5fafec.png,hover [5151]menuitem '\ue608 Pantry Staples' hasPopup: menu,0.0,1.0,1.0,0.0,0.0
