,task_ID,instruction,step_idx,observation_url,action,IP,E,TC,TR,C
0,193_1,Get the total payment amount of the last 2 completed orders,1,https://pic.imgdb.cn/item/6711306dd29ded1a8c6da97e.png,stop [$194.40 + $190.00],0.0,1.0,1.0,0.0,0.0
1,187_1,Give me the SKU of the products that have 1-3 units left,1,https://pic.imgdb.cn/item/6711306dd29ded1a8c6da9ac.png,click [97]link '\ue608 CATALOG',0.0,1.0,1.0,0.0,0.0
2,187_1,Give me the SKU of the products that have 1-3 units left,2,https://pic.imgdb.cn/item/6711306dd29ded1a8c6daa32.png,click [211]link 'Products',0.0,1.0,1.0,0.0,0.0
3,187_1,Give me the SKU of the products that have 1-3 units left,3,https://pic.imgdb.cn/item/6711306ed29ded1a8c6daa65.png,click [2681]button '\ue605Filters',0.0,1.0,1.0,0.0,0.0
4,187_1,Give me the SKU of the products that have 1-3 units left,4,https://pic.imgdb.cn/item/6711306ed29ded1a8c6daab8.png,type [4262] [1] [0],0.0,1.0,1.0,0.0,0.0
5,187_1,Give me the SKU of the products that have 1-3 units left,5,https://pic.imgdb.cn/item/6711306ed29ded1a8c6dab0b.png,type [4269] [3] [0],0.0,1.0,1.0,0.0,0.0
6,187_1,Give me the SKU of the products that have 1-3 units left,6,https://pic.imgdb.cn/item/6711306ed29ded1a8c6dab76.png,click [4236]button 'Apply Filters',0.0,1.0,1.0,0.0,0.0
7,187_1,Give me the SKU of the products that have 1-3 units left,7,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dabbf.png,stop [N/A],0.0,1.0,1.0,0.0,0.0
8,3_1,What are the top-2 best-selling product in 2022,1,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dac86.png,"stop [Quest Lumaflex™ Band, Sprite Yoga Strap 6 foot]",0.0,1.0,1.0,0.0,0.0
9,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,1,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dad60.png,click [95]link '\ue60a REPORTS',0.0,1.0,1.0,0.0,0.0
