,task_ID,instruction,step_idx,observation_url,action,IP,E,TC,TR,C
0,193_1,Get the total payment amount of the last 2 completed orders,1,https://pic.imgdb.cn/item/6711306dd29ded1a8c6da97e.png,stop [$194.40 + $190.00],0.0,0.0,0.0,0.0,0.0
0,187_1,Give me the SKU of the products that have 1-3 units left,1,https://pic.imgdb.cn/item/6711306dd29ded1a8c6da9ac.png,click [97]link '\ue608 CATALOG',0.0,0.0,0.0,0.0,0.0
1,187_1,Give me the SKU of the products that have 1-3 units left,2,https://pic.imgdb.cn/item/6711306dd29ded1a8c6daa32.png,click [211]link 'Products',0.0,0.0,0.0,0.0,0.0
2,187_1,Give me the SKU of the products that have 1-3 units left,3,https://pic.imgdb.cn/item/6711306ed29ded1a8c6daa65.png,click [2681]button '\ue605Filters',0.0,0.0,0.0,0.0,0.0
3,187_1,Give me the SKU of the products that have 1-3 units left,4,https://pic.imgdb.cn/item/6711306ed29ded1a8c6daab8.png,type [4262] [1] [0],0.0,0.0,0.0,0.0,0.0
4,187_1,Give me the SKU of the products that have 1-3 units left,5,https://pic.imgdb.cn/item/6711306ed29ded1a8c6dab0b.png,type [4269] [3] [0],0.0,0.0,0.0,0.0,0.0
5,187_1,Give me the SKU of the products that have 1-3 units left,6,https://pic.imgdb.cn/item/6711306ed29ded1a8c6dab76.png,click [4236]button 'Apply Filters',0.0,0.0,0.0,0.0,0.0
6,187_1,Give me the SKU of the products that have 1-3 units left,7,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dabbf.png,stop [N/A],0.0,0.0,0.0,0.0,0.0
0,3_1,What are the top-2 best-selling product in 2022,1,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dac86.png,"stop [Quest Lumaflex™ Band, Sprite Yoga Strap 6 foot]",0.0,0.0,0.0,0.0,0.0
0,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,1,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dad60.png,click [95]link '\ue60a REPORTS',0.0,0.0,0.0,0.0,0.0
1,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,2,https://pic.imgdb.cn/item/6711306fd29ded1a8c6dadeb.png,click [443]link 'Orders',0.0,0.0,0.0,0.0,0.0
2,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,3,https://pic.imgdb.cn/item/67113070d29ded1a8c6dae36.png,type [1356] [01/01/2022] [0],0.0,0.0,0.0,0.0,0.0
3,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,4,https://pic.imgdb.cn/item/67113070d29ded1a8c6daed7.png,type [1358] [11/30/2022] [0],0.0,0.0,0.0,0.0,0.0
4,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,5,https://pic.imgdb.cn/item/67113070d29ded1a8c6daf22.png,click [1567]button 'Show Report',0.0,0.0,0.0,0.0,0.0
5,110_1,Presents the monthly count of successful orders from Jan to Nov 2022 in MM:COUNT format,6,https://pic.imgdb.cn/item/67113070d29ded1a8c6daf6c.png,"stop [01:1, 02:0, 03:0, 04:0, 05:0, 06:0, 07:0, 08:0, 09:0, 10:0, 11:0]",0.0,0.0,0.0,0.0,0.0
0,676_1,Lookup orders that are suspected of being fraudulent,1,https://pic.imgdb.cn/item/67113071d29ded1a8c6dafb1.png,click [80]link '\ue60b SALES',0.0,0.0,0.0,0.0,0.0
1,676_1,Lookup orders that are suspected of being fraudulent,2,https://pic.imgdb.cn/item/67113071d29ded1a8c6daffd.png,click [160]link 'Orders',0.0,0.0,0.0,0.0,0.0
2,676_1,Lookup orders that are suspected of being fraudulent,3,https://pic.imgdb.cn/item/67113071d29ded1a8c6db04d.png,click [2409]button '\ue605Filters',0.0,0.0,0.0,0.0,0.0
3,676_1,Lookup orders that are suspected of being fraudulent,4,https://pic.imgdb.cn/item/67113071d29ded1a8c6db0cd.png,click [2409]button '\ue605Filters',0.0,0.0,0.0,0.0,0.0
4,676_1,Lookup orders that are suspected of being fraudulent,5,https://pic.imgdb.cn/item/67113072d29ded1a8c6db0fa.png,click [2815]button 'Clear all',0.0,0.0,0.0,0.0,0.0
5,676_1,Lookup orders that are suspected of being fraudulent,6,https://pic.imgdb.cn/item/67113072d29ded1a8c6db175.png,click [2409]button '\ue605Filters',0.0,0.0,0.0,0.0,0.0
6,676_1,Lookup orders that are suspected of being fraudulent,7,https://pic.imgdb.cn/item/67113072d29ded1a8c6db1c3.png,type [1894] [fraudulent] [1],0.0,0.0,0.0,0.0,0.0
7,676_1,Lookup orders that are suspected of being fraudulent,8,https://pic.imgdb.cn/item/67113072d29ded1a8c6db211.png,click [2409]button '\ue605Filters',0.0,0.0,0.0,0.0,0.0
8,676_1,Lookup orders that are suspected of being fraudulent,9,https://pic.imgdb.cn/item/67113073d29ded1a8c6db267.png,click [3006]link 'View',0.0,0.0,0.0,0.0,0.0
9,676_1,Lookup orders that are suspected of being fraudulent,10,https://pic.imgdb.cn/item/67113073d29ded1a8c6db2b1.png,click [3006]link 'View',0.0,0.0,0.0,0.0,0.0
10,676_1,Lookup orders that are suspected of being fraudulent,11,https://pic.imgdb.cn/item/67113073d29ded1a8c6db315.png,click [3006]link 'View',0.0,0.0,0.0,0.0,0.0
11,676_1,Lookup orders that are suspected of being fraudulent,12,https://pic.imgdb.cn/item/67113074d29ded1a8c6db44f.png,click [3006]link 'View',0.0,0.0,0.0,0.0,0.0
12,676_1,Lookup orders that are suspected of being fraudulent,13,https://pic.imgdb.cn/item/67113074d29ded1a8c6db47b.png,click [3006]link 'View',0.0,0.0,0.0,0.0,0.0
